Name,Place ID,Latitude,Longitude,County
"Sellwood Riverfront Park, 1221 SE Oaks Park Way, Portland, OR 97202, USA",ChIJIeDfZ94KlVQRQ6u9CacgIy0,45.4667915917541,-122.6634421714550,Multnomah
"Sellwood Pool, 7951 SE 7th Ave, Portland, OR 97202, USA ",ChIJ04FOyN0KlVQRQh-YIboSdXo,45.4666209353270,-122.6593283021350,Multnomah
"Capitol Hill Library, 10723 SW Capitol Hwy, Portland, OR 97219, USA",ChIJn54JwqEMlVQRBNnlF4Y1_DM,45.4480717882438,-122.7254174119140,Multnomah
"Lincoln City Senior Center, Northeast Oar Place, Lincoln City, OR",ChIJa2RadGGN6lQRlg6t3odkSEk,44.9803199412623,-124.0073225098010,Lincoln
"Newport City Senior Center, Southeast 2nd Street, Newport, OR",ChIJDZfbnMrXwVQREhrEfKsyZQA,44.6347711281429,-124.0522313448340,Lincoln
"Waldport Community Center, Northwest Hemlock Street, Waldport, OR",ChIJ4ZCZCUvCwVQRcHdUcv9CPjc,44.4268462143633,-124.0633035084450,Lincoln
"Bonaventure of Albany, Northwest Geri Street, Albany, OR, USA",ChIJ33fBmVcTwFQR3GWHuluaADs,44.6429481212525,-123.1164642594120,Benton
"Corvallis Community Center, Northwest Tyler Avenue, Corvallis, OR, USA",ChIJNblwe6JAwFQRtZSQoud-vlk,44.5730148205126,-123.2799134282290,Benton
"Community Outreach Inc, Northwest Reiman Avenue, Corvallis, OR, USA",ChIJM1Yj1ZFAwFQR4NWQfJK-G_c,44.5729105512102,-123.2604056873340,Benton
"Corvallis Daytime Drop-in Center, Southwest 4th Street, Corvallis, OR, USA",ChIJn_BVuOpAwFQR8tf4ykuBh2Y,44.5604511475717,-123.2640730334860,Benton
"Lebanon Senior Center, Tangent Street, Lebanon, Oregon, USA",ChIJ_3RzvoRvwFQRHc6ig71fwCs,44.5458286172958,-122.9084965191530,Benton
"Salvation Army, Southeast Columbus Street, Albany, OR, USA",ChIJAzyiz7dswFQRD8htd4K8HaI,44.6382662620204,-123.0774874112290,Benton
"Riverfront Community Center, Northwest Water Avenue, Albany, OR, USA",ChIJ1ekOFFUTwFQR_Uez-Vua0e4,44.6393279405020,-123.1094721325190,Benton
"Sweet Home Senior Center, Sweet Home, OR, USA",ChIJQfWByFSIwFQRGA4Oa_EoWHQ,44.3938906809586,-122.7240761723890,Benton
